dagger,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
150,3CP,4CP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,18ES
149,3BP,4CP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,18EP
148,3AP,4BP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,18ES
147,3AP,4BP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,18EP
146,3AP,4BP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,18ES
145,3AK,4AP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,18EP
144,3,4AP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,17ES
143,3,4AP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,17EP
142,3,4AP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,17ES
141,3,4AP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,17EP
140,3,4AK,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,17ES
139,3,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,16EP
138,3,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,16DS
137,3,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,16EP
136,3,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,16ES
135,3,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,16EP
134,3,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,15DS
133,3,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,15DP
132,3,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,15CS
131,3,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,15DP
130,3,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,15DS
129,3,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,14DP
128,3,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,14DS
127,3,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,14DP
126,3,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,14DS
125,3,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,14DP
124,3,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,13CS
123,3,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,13CP
122,3,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,13CS
121,3,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,13CP
120,3,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,13CS
119,3,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,12CP
118,3,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,12CS
117,3,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,12CP
116,3,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,12CS
115,3,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,12CP
114,3,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,11BS
113,2,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,11BP
112,2,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,11BS
111,2,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,11BP
110,2,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,11BS
109,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,10BP
108,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,10BS
107,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,10BP
106,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,10BS
105,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,10AP
104,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,9AS
103,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,9AP
102,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,9AS
101,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,9AP
100,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,9AS
099,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,9AP
098,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,8AS
097,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,8AP
096,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,8AK
095,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,8AS
094,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,7
093,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,7
092,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,7
091,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,7
090,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,7
089,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
088,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
087,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
086,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
085,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
084,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
083,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
082,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
081,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
080,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
079,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
078,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
077,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
076,1,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
075,1,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
074,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
073,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
072,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
071,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
